topic_id,manual_label,description,implicit_risk,top_keywords
0,饭圈争议,韩娱塌房、审判、霸凌、rh 等饭圈冲突话题,中,"塌房, rh, 审判, 划水, 霸凌, Kpop"
1,韩娱八卦,女团动态、吃瓜、姐姐、屹立不倒等娱乐讨论,低,"韩娱, 柳智敏, 吃瓜, 姐姐, 依旧"
2,抽象讨论,信息混乱、相信、曾经等模糊/哲学向表达,低,"信息, 混乱, 相信, 曾经, 某些"
3,职场吐槽,夏鹏、努力、上班、草台班子等职场/个人成长,低,"夏鹏, 努力, 上班, 草台班子, 日本"
4,情感争议,洗脑、恋爱观、离谱、网红等情感/价值观冲突,中,"洗脑, 恋爱观, 离谱, 网红, 觉得"
5,网络暴力,全红婵、辱骂、暴力、报警、维权等网暴/体育争议,高,"全红婵, 辱骂, 暴力, 报警, 维权"
6,游戏机制,重做、水门、金身、技能、爆料等游戏平衡性讨论,低,"重做, 水门, 金身, 技能, 爆料"
7,偶像拉踩,实力、对比、吊打、元英等饭圈对比/引战,中,"实力, 对比, 吊打, 元英, 五废"
8,性别议题,歧视、男性、女权、就业、韩国等性别/职场平等,高,"歧视, 男性, 女权, 就业, 韩国"
9,性别对立,杨笠、储殷、骂战、独立等脱口秀/性别对立,高,"女性, 男性, 杨笠, 骂战, 独立"
10,动漫讨论,五条、咒术、回战、MAD 等二次元/番剧话题,低,"五条, 咒术, 回战, MAD, 领域"
11,游戏杂谈,哔哩、原神、版本、剧情、巅峰等游戏社区日常,低,"哔哩, 原神, 版本, 剧情, 巅峰"
